N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
167,대한전선,"1,760",0,0.00%,500,"15,074","856,473",1.93,0,45.13,0.92,
168,KODEX 삼성그룹,"9,340",290,-3.01%,0,"15,028","160,900",0.26,"325,208",N/A,N/A,
169,대웅제약,"128,500","4,500",-3.38%,"2,500","14,889","11,587",6.16,"67,840",129.02,2.38,
170,LS ELECTRIC,"49,400","1,800",-3.52%,"5,000","14,820","30,000",17.56,"73,095",18.29,6.15,
171,현대엘리베이,"36,300",850,-2.29%,"5,000","14,816","40,815",28.60,"192,784",23.39,9.78,
172,한전KPS,"32,500",900,-2.69%,200,"14,625","45,000",7.42,"265,969",12.10,8.23,
173,대웅,"25,100","1,000",-3.83%,500,"14,594","58,142",4.19,"138,392",13.82,15.10,
174,아이에스동서,"46,950",850,-1.78%,500,"14,504","30,893",4.48,"83,741",26.89,10.92,
175,KODEX 종합채권(AA-이상)액티브,"106,835",110,-0.10%,0,"14,480","13,554",0.00,"14,178",N/A,N/A,
176,동국제강,"14,550",800,-5.21%,"5,000","13,885","95,433",22.44,"974,356",3.07,3.35,
177,TIGER 단기통안채,"100,535",10,+0.01%,0,"13,657","13,584",0.89,"1,612,533",N/A,N/A,
178,명신산업,"25,500",950,-3.59%,500,"13,380","52,470",2.30,"405,642",-11.06,-67.39,
179,한일시멘트,"19,300",300,-1.53%,500,"13,367","69,262",2.83,"262,073",12.71,N/A,
180,LIG넥스원,"60,000","1,300",-2.12%,"5,000","13,200","22,000",6.29,"284,555",13.99,8.86,
181,케이카,"27,450","1,750",-5.99%,500,"13,200","48,087",18.21,"283,492",45.60,15.11,
182,롯데칠성,"140,500","2,000",-1.40%,500,"13,037","9,279",9.04,"26,393",16.61,-1.00,
183,NHN,"34,650","2,400",-6.48%,500,"13,000","37,518",19.20,"327,015",40.01,1.35,
184,ESR켄달스퀘어리츠,"6,000",50,-0.83%,"1,000","12,785","213,089",32.00,"252,372",157.89,1.14,
185,TIGER 미국S&P500,"13,180",150,-1.13%,0,"12,778","96,950",0.01,"2,525,082",N/A,N/A,
186,에스엘,"26,500","1,250",-4.50%,500,"12,774","48,203",14.95,"148,125",8.79,4.74,
187,PI첨단소재,"42,900","6,750",-13.60%,500,"12,598","29,366",12.90,"1,026,894",21.54,15.62,
188,롯데리츠,"5,180",110,-2.08%,500,"12,586","242,969",9.59,"330,801",32.38,1.68,
189,코스모신소재,"41,750","1,450",-3.36%,"1,000","12,561","30,087",5.94,"420,114",53.53,7.16,
190,아시아나항공,"16,750",600,-3.46%,"5,000","12,464","74,412",7.31,"495,623",-2.88,-43.83,
191,한국앤컴퍼니,"13,050",500,-3.69%,500,"12,389","94,935",9.60,"216,532",5.01,5.08,
192,신풍제약,"23,350","1,950",-7.71%,500,"12,372","52,985",9.29,"1,205,098","3,891.67",1.72,
193,티와이홀딩스,"23,950","1,050",-4.20%,500,"12,198","50,929",5.07,"99,098",2.06,N/A,
194,롯데렌탈,"33,250",850,-2.49%,"5,000","12,181","36,634",1.53,"155,238",11.53,6.73,
195,KODEX 2차전지산업,"20,350",800,-3.78%,0,"12,108","59,500",1.62,"2,777,188",N/A,N/A,
196,TIGER 미국테크TOP10 INDXX,"11,535",185,-1.58%,0,"12,014","104,150",0.63,"2,282,884",N/A,N/A,
197,DL,"57,100","1,600",-2.73%,"5,000","11,966","20,956",11.80,"106,297",1.81,11.84,
198,현대두산인프라코어,"6,030",230,-3.67%,"1,000","11,905","197,435",9.78,"1,873,307",5.16,6.47,
199,영풍,"639,000","29,000",-4.34%,"5,000","11,771","1,842",4.07,"1,824",9.93,4.03,
200,LG생활건강우,"553,000","7,000",-1.25%,"5,000","11,611","2,100",83.99,"3,413",11.51,N/A,
